http://www.shokushu.com/	Shokushu High School	An erotic interactive story using art, photographic manipulations and words to create a place for the visitor to wander and encounter rampaging aliens. 	288071
http://www.densetsu.com/	Anime Densetsu	Features reviews, saved game files, and walkthroughs of numerous Japanese anime-based games. 	288073
http://engbishoujo.tripod.com/	English Anime Bishoujo Games	Information, images, and reviews for several titles. 	288073
http://www.somethingawful.com/hentai/	Something Awful - Hentai Game Reviews	Humorous and extremely detailed reviews of both English-translated and Japanese games. 	288073
http://www.hentaigameszone.com/	Hentai Games Zone	English adult game reviews with images, links, and  bishoujo game quizzes. 	288073
http://www.angelfire.com/gundam/fics/	Jamie-chan's Gundam Wing Fanfiction Archive	Archive with fiction ranging from G to NC-17 ratings. 	288077
http://anime.mikomi.org/series/164.html	Community Anime Reviews: La Blue Girl	Several brief reviews with a rating chart. 	288082
http://www.angelfire.com/anime3/glimpse/	Glimpses	Daisuke and Ken-centered fan fiction. 	288083
http://www.angelfire.com/biz5/tuxsux/new2.html	Tux Sux	Provides two people's sets of reasons for hating Tuxedo Mask, claimed proof of his infidelity through hentai pictures, Yahoo! Club, and links. 	288086
http://www.animejin.org.uk/urot.htm	Animejin - Urotsukidoji: Legend of the Overfiend	UK release information and review. 	288090
http://www.wired.com/wired/archive/2.06/streetcred.html	Wired review	by Richard Kadrey - "A half-hour of Urotsukidoji would have Freud on the carpet, gibbering like an electroshocked baboon." 	288090
http://www.abcb.com/parents/legend.htm	Parent's Guide to Anime	Brief description and review. 	288090
http://www.darknessrising.com/WK/index.htm	White June	Fan works, news, humorous posts from a mailing list, and links. 	288093
http://members.tripod.com/~CSpade/	Bubblegum Crisis: ShoujoAi	Dedicated to the female characters in the original Bubblegum Crisis. 	288094
https://byakushou.livejournal.com/	Byakuran x Shou-chan	Community featuring fan fiction, doujinshi and fan art dedicated to the Byakuran Millefiore (Gesso) and Shouichi Irie pairing. Also contains non-adult works. 	288095
https://hibagoku.livejournal.com/	Hibari Kyouya x Gokudera Hayato	Fan community for the pairing with discussion, doujinshi, fan art, and fan fiction. Also contains non-adult works. 	288095
https://mashinappo.livejournal.com/	Lingering Desire	Byakuran/Mukuro fan community with discussion, fan art, fan fiction, and doujinshi. Also contains non-adult works. 	288095
http://mukuhiba.livejournal.com/	Sakura Addiction	Mukuro/Hibari community with fan fiction, fan art, icons, and cosplay photographs. Also contains non-adult works. 	288095
http://suckxburn.livejournal.com/	Suck X Burn	Explicit and non-explicit fan art, fan fiction, and doujinshi featuring Spanner/Tsuna. 	288095
https://yamahiba.livejournal.com/	Yama x Hiba x Yama Apppreciation Community	Yamamoto/Hibari fan fiction and fan art. Also includes non-adult materials. 	288095
https://khr-yaoi.livejournal.com/	KHR Yaoi	Fan fiction, fan art, graphics, and doujinshi featuring any male/male pairings from the series. All ratings. 	288095
https://pineappletuna.livejournal.com/	Mukuro Tsuna	Fan community for the pairing with explicit and non-explicit doujinshi, fan art, fan fiction, and AMVs. 	288095
https://8059challenge.livejournal.com/	Downpour	A Yamamoto/Gokudera challenge community with fan fiction and fan art, both explicit and not. 	288095
https://reborn-quickies.livejournal.com/	Reborn Quickies	Weekly challenge community for fan fiction between 100 and 500 words. 	288095
https://studiocutepet.com/	CutePet	Original art, anime and manga fan art, gifts, and commissioned works. 	288053
http://hebuss.free.fr/	Boris Vallejo' Artwork	Large gallery showcasing the artist's work from 1978 to 2000. 	288105
http://www.suicide.couk.com/gallery/boris/borisg.htm	Suicide Netzine	Biography and a gallery of 140 thumbnailed images. 	288105
http://www.eroticartcollection.com/Hajime_Sorayama/	The Art of Hajime Sorayama	An exhibition of original artwork by Hajime Sorayama (1947- ). 	288106
http://www.suicide.couk.com/gallery/sora/sorag.htm	Suicide: The Works of Hajime Sorayama	Domina, erotic, robot, and fantasy galleries. 	288106
http://www.xs4all.nl/~mecano/SilverSprings/Sorayama/sorayama_thumbs1.html	Silver Springs: Hajime Sorayama	Small erotic robots gallery. 	288106
http://www.pornokrates.com/lysistrata.html	Pornokrates: Lysistrata	Online showcase of Beardsley's outre illustrations for the classical Greek playwright's work. 	288108
http://www.thepinupfiles.com/	The Pin-up Files	Chatroom, mailing list, message board, links, and artist galleries and biographies for pin-up enthusiasts. 	288104
http://www.sardax.com/	Sardax	The femdom art of Sardax. [membership required] 	288104
http://www.hentai-foundry.com/	Hentai Foundry	An adult anime gallery consisting of art and fiction both fan art and original creations. 	288104
http://www.eroticartcollection.com/Olivia/	The Art of Olivia	An exhibition of original artwork by Olivia (1948- ). 	288109
http://www.eeplaza.com/	EE Plaza	Lifestyle magazine from Extreme Erotica films which includes an erotic art gallery, film list, stories, technology, and best buy articles. 	288110
